name	anio_movi	mes_movi	n	acum
Colombia	2014	1	399	399
Estados Unidos	2014	1	381	381
Perú	2014	1	292	292
Panamá	2014	1	185	185
México	2014	1	76	76
Chile	2014	1	60	60
Brasil	2014	1	47	47
España	2014	1	41	41
Argentina	2014	1	31	31
Guatemala	2014	1	28	28
Colombia	2014	2	528	927
Estados Unidos	2014	2	344	725
Perú	2014	2	314	606
Panamá	2014	2	197	382
México	2014	2	79	155
Brasil	2014	2	57	104
Chile	2014	2	44	104
España	2014	2	40	81
Argentina	2014	2	34	65
Costa Rica	2014	2	30	48
Guatemala	2014	2	20	48
Colombia	2014	3	491	1418
Estados Unidos	2014	3	385	1110
Perú	2014	3	377	983
Panamá	2014	3	181	563
México	2014	3	84	239
Chile	2014	3	86	190
Brasil	2014	3	85	189
España	2014	3	47	128
Argentina	2014	3	46	111
Costa Rica	2014	3	53	101
Colombia	2014	4	414	1832
Estados Unidos	2014	4	352	1462
Perú	2014	4	322	1305
Panamá	2014	4	159	722
México	2014	4	65	304
Brasil	2014	4	66	255
Chile	2014	4	53	243
España	2014	4	43	171
Argentina	2014	4	42	153
China Republica Popular (Pekín)	2014	4	81	135
Colombia	2014	5	469	2301
Estados Unidos	2014	5	350	1812
Perú	2014	5	334	1639
Panamá	2014	5	155	877
México	2014	5	75	379
Brasil	2014	5	72	327
Chile	2014	5	69	312
España	2014	5	53	224
Argentina	2014	5	42	195
China Republica Popular (Pekín)	2014	5	36	171
Colombia	2014	6	437	2738
Estados Unidos	2014	6	284	2096
Perú	2014	6	284	1923
Panamá	2014	6	163	1040
México	2014	6	84	463
Brasil	2014	6	39	366
Chile	2014	6	48	360
España	2014	6	32	256
Argentina	2014	6	47	242
China Republica Popular (Pekín)	2014	6	23	194
Colombia	2014	7	434	3172
Estados Unidos	2014	7	274	2370
Perú	2014	7	239	2162
Panamá	2014	7	173	1213
México	2014	7	43	506
Brasil	2014	7	55	421
Chile	2014	7	43	403
España	2014	7	24	280
Argentina	2014	7	32	274
Costa Rica	2014	7	28	221
Colombia	2014	8	423	3595
Estados Unidos	2014	8	238	2608
Perú	2014	8	283	2445
Panamá	2014	8	141	1354
México	2014	8	56	562
Brasil	2014	8	79	500
Chile	2014	8	45	448
Argentina	2014	8	47	321
España	2014	8	19	299
Costa Rica	2014	8	20	241
Colombia	2014	9	446	4041
Estados Unidos	2014	9	386	2994
Perú	2014	9	383	2828
Panamá	2014	9	198	1552
México	2014	9	63	625
Brasil	2014	9	67	567
Chile	2014	9	53	501
Argentina	2014	9	71	392
España	2014	9	46	345
China Republica Popular (Pekín)	2014	9	40	266
Colombia	2014	10	413	4454
Estados Unidos	2014	10	380	3374
Perú	2014	10	317	3145
Panamá	2014	10	171	1723
México	2014	10	85	710
Brasil	2014	10	79	646
Chile	2014	10	72	573
Argentina	2014	10	53	445
España	2014	10	56	401
China Republica Popular (Pekín)	2014	10	81	347
Colombia	2014	11	500	4954
Estados Unidos	2014	11	391	3765
Perú	2014	11	333	3478
Panamá	2014	11	170	1893
México	2014	11	100	810
Brasil	2014	11	95	741
Chile	2014	11	67	640
Argentina	2014	11	51	496
España	2014	11	57	458
China Republica Popular (Pekín)	2014	11	35	382
Colombia	2014	12	317	5271
Estados Unidos	2014	12	223	3988
Perú	2014	12	219	3697
Panamá	2014	12	149	2042
México	2014	12	47	857
Brasil	2014	12	38	779
Chile	2014	12	52	692
Argentina	2014	12	34	530
España	2014	12	18	476
China Republica Popular (Pekín)	2014	12	15	397
Colombia	2015	1	477	5748
Estados Unidos	2015	1	448	4436
Perú	2015	1	291	3988
Panamá	2015	1	234	2276
México	2015	1	77	934
Brasil	2015	1	79	858
Chile	2015	1	66	758
Argentina	2015	1	28	558
España	2015	1	48	524
China Republica Popular (Pekín)	2015	1	47	444
Colombia	2015	2	476	6224
Estados Unidos	2015	2	321	4757
Perú	2015	2	291	4279
Panamá	2015	2	206	2482
México	2015	2	76	1010
Brasil	2015	2	49	907
Chile	2015	2	36	794
Argentina	2015	2	44	602
España	2015	2	48	572
China Republica Popular (Pekín)	2015	2	13	457
Colombia	2015	3	517	6741
